id,date,ticker,open_price,high_price,low_price,close_price,volume,daily_return_pct,price_range,moving_avg_7,moving_avg_30,moving_avg_50,fetched_at
14778,2025-11-21,JIOFIN,307.0,308.35,303.0,303.55,5973657,-1.5567,5.35,308.56,307.44,307.54,2026-04-25 22:37:17
14777,2025-11-20,JIOFIN,305.6,309.6,305.2,308.35,7784069,1.281,4.4,309.41,307.48,307.62,2026-04-25 22:37:17
14776,2025-11-19,JIOFIN,305.85,306.4,303.6,304.45,5882303,-0.4903,2.8,308.91,307.53,307.68,2026-04-25 22:37:17
14775,2025-11-18,JIOFIN,311.15,311.85,305.45,305.95,8869128,-1.9391,6.4,308.56,307.59,307.78,2026-04-25 22:37:17
14774,2025-11-17,JIOFIN,316.0,316.85,311.15,312.0,8876003,-0.9209,5.7,307.61,307.45,307.85,2026-04-25 22:37:17
14773,2025-11-14,JIOFIN,311.0,315.7,309.3,314.9,13675540,1.3518,6.4,305.62,307.05,307.88,2026-04-25 22:37:17
14772,2025-11-13,JIOFIN,310.0,316.6,309.7,310.7,15761850,0.3877,6.9,303.76,306.33,307.82,2026-04-25 22:37:17
14771,2025-11-12,JIOFIN,305.3,310.3,305.25,309.5,12029640,1.5087,5.05,303.21,305.78,307.89,2026-04-25 22:37:17
14770,2025-11-11,JIOFIN,302.0,305.65,297.65,304.9,10752130,0.977,8.0,302.82,305.32,307.93,2026-04-25 22:37:17
14769,2025-11-10,JIOFIN,299.65,303.4,299.65,301.95,8870055,0.8854,3.75,303.52,305.21,308.03,2026-04-25 22:37:17
14768,2025-11-07,JIOFIN,297.0,300.15,293.5,299.3,9364502,0.4025,6.65,304.64,305.37,308.31,2026-04-25 22:37:17
14767,2025-11-06,JIOFIN,301.9,303.2,297.5,298.1,8339076,-1.2587,5.7,305.87,305.81,308.72,2026-04-25 22:37:17
14766,2025-11-04,JIOFIN,306.0,306.95,301.35,301.9,8396727,-1.5971,5.6,306.94,306.34,309.17,2026-04-25 22:37:17
14765,2025-11-03,JIOFIN,306.2,308.4,303.5,306.8,8075806,0.0,4.9,307.51,306.84,309.61,2026-04-25 22:37:17
14764,2025-10-31,JIOFIN,309.0,310.95,306.25,306.8,6533999,-0.9684,4.7,307.84,307.2,310.04,2026-04-25 22:37:17
14763,2025-10-30,JIOFIN,310.1,312.8,309.15,309.8,8517048,0.0161,3.65,308.55,307.5,310.53,2026-04-25 22:37:17
14762,2025-10-29,JIOFIN,307.8,310.75,307.6,309.75,8605721,0.5845,3.15,308.68,307.69,310.92,2026-04-25 22:37:17
14761,2025-10-28,JIOFIN,306.1,308.75,305.05,307.95,11236080,0.7855,3.7,308.61,307.87,311.27,2026-04-25 22:37:17
14760,2025-10-27,JIOFIN,306.85,307.9,305.15,305.55,8333968,-0.1307,2.75,309.21,307.98,311.73,2026-04-25 22:37:17
14759,2025-10-24,JIOFIN,310.0,311.15,305.5,305.95,8292307,-1.0031,5.65,310.22,308.15,312.16,2026-04-25 22:37:17
14758,2025-10-23,JIOFIN,312.0,313.85,308.4,309.05,11107310,-0.882,5.45,310.17,308.29,312.59,2026-04-25 22:37:17
14757,2025-10-21,JIOFIN,311.45,313.3,311.05,311.8,3190393,0.354,2.25,310.09,308.25,312.82,2026-04-25 22:37:17
14756,2025-10-20,JIOFIN,309.2,315.8,309.1,310.7,14883900,0.4526,6.7,309.56,308.23,313.09,2026-04-25 22:37:17
14755,2025-10-17,JIOFIN,313.55,314.75,307.05,309.3,13963050,-0.8972,7.7,309.09,308.19,313.39,2026-04-25 22:37:17
14754,2025-10-16,JIOFIN,314.05,314.3,310.6,312.1,10445540,-0.1759,3.7,308.42,308.19,313.86,2026-04-25 22:37:17
14753,2025-10-15,JIOFIN,305.6,312.95,305.6,312.65,14796110,2.3069,7.35,308.11,308.24,314.28,2026-04-25 22:37:17
14752,2025-10-14,JIOFIN,309.65,310.8,305.1,305.6,7420573,-0.924,5.7,307.19,308.21,314.61,2026-04-25 22:37:17
14751,2025-10-13,JIOFIN,306.0,308.8,304.7,308.45,6533659,0.0974,4.1,306.64,308.5,315.07,2026-04-25 22:37:17
14750,2025-10-10,JIOFIN,307.0,310.4,306.65,308.15,7654597,0.2603,3.75,305.44,308.6,315.3,2026-04-25 22:37:17
14749,2025-10-09,JIOFIN,305.3,308.15,305.3,307.35,6279739,0.8863,2.85,303.3,308.67,315.55,2026-04-25 22:37:17
14748,2025-10-08,JIOFIN,309.9,310.95,304.2,304.65,7853613,-1.6941,6.75,301.42,308.95,315.54,2026-04-25 22:37:17
14747,2025-10-07,JIOFIN,306.35,315.0,306.3,309.9,18717960,1.1918,8.7,300.16,309.45,315.66,2026-04-25 22:37:17
14746,2025-10-06,JIOFIN,302.0,306.65,301.5,306.25,8816471,1.5081,5.15,298.98,309.81,315.78,2026-04-25 22:37:17
14745,2025-10-03,JIOFIN,300.05,302.95,298.8,301.7,8773415,0.5499,4.15,299.05,310.39,315.93,2026-04-25 22:37:17
14744,2025-10-01,JIOFIN,294.0,300.85,293.05,300.05,8551743,2.3363,7.8,300.6,311.29,316.11,2026-04-25 22:37:17
14743,2025-09-30,JIOFIN,295.0,296.8,292.2,293.2,10119810,-0.3399,4.6,302.57,312.33,316.44,2026-04-25 22:37:17
14742,2025-09-29,JIOFIN,296.0,299.9,293.4,294.2,9607887,-0.5577,6.5,305.97,313.53,316.9,2026-04-25 22:37:17
14741,2025-09-26,JIOFIN,300.9,301.6,294.35,295.85,11503280,-1.9065,7.25,309.28,314.64,317.37,2026-04-25 22:37:17
14740,2025-09-25,JIOFIN,306.75,308.3,301.0,301.6,12147550,-1.6789,7.3,312.14,315.8,317.84,2026-04-25 22:37:17
14739,2025-09-24,JIOFIN,314.0,314.1,306.0,306.75,11253780,-1.8557,8.1,314.11,316.64,318.22,2026-04-25 22:37:17
14738,2025-09-23,JIOFIN,313.85,315.0,310.75,312.55,11896530,-0.4142,4.25,315.34,317.34,318.46,2026-04-25 22:37:17
14737,2025-09-22,JIOFIN,317.0,319.0,312.8,313.85,7711667,-0.9937,6.2,315.15,317.61,318.71,2026-04-25 22:37:17
14736,2025-09-19,JIOFIN,317.6,321.6,315.8,317.0,17671560,-0.1103,5.8,314.7,317.98,319.06,2026-04-25 22:37:17
14735,2025-09-18,JIOFIN,316.3,317.95,315.9,317.35,9396848,0.4749,2.05,313.71,318.29,319.3,2026-04-25 22:37:17
14734,2025-09-17,JIOFIN,315.9,318.7,315.0,315.85,8836571,0.1268,3.7,312.36,318.79,319.52,2026-04-25 22:37:17
14733,2025-09-16,JIOFIN,315.8,317.8,314.3,315.45,10963420,0.0317,3.5,311.69,319.37,319.76,2026-04-25 22:37:17
14732,2025-09-15,JIOFIN,311.05,316.65,310.0,315.35,14414940,1.3335,6.65,310.82,319.82,319.94,2026-04-25 22:37:17
14731,2025-09-12,JIOFIN,311.05,312.2,310.0,311.2,6049420,0.1609,2.2,309.98,320.27,320.12,2026-04-25 22:37:17
14730,2025-09-11,JIOFIN,310.05,312.5,309.95,310.7,6146666,0.2097,2.55,310.34,320.55,320.42,2026-04-25 22:37:17
14729,2025-09-10,JIOFIN,310.0,313.4,309.25,310.05,10838910,0.6819,4.15,310.49,320.88,320.79,2026-04-25 22:37:17
14728,2025-09-09,JIOFIN,311.1,312.35,307.25,307.95,10103720,-1.0125,5.1,311.06,320.78,321.11,2026-04-25 22:37:17
14727,2025-09-08,JIOFIN,310.75,313.35,309.6,311.1,6198613,0.5495,3.75,311.59,320.87,321.41,2026-04-25 22:37:17
14726,2025-09-05,JIOFIN,310.0,313.9,308.9,309.4,8618197,-0.0162,5.0,311.45,321.03,321.43,2026-04-25 22:37:17
14725,2025-09-04,JIOFIN,315.25,316.0,309.0,309.45,10392900,-1.3548,7.0,312.36,321.19,321.3,2026-04-25 22:37:17
14724,2025-09-03,JIOFIN,311.0,314.7,309.8,313.7,11360600,0.6255,4.9,313.82,321.21,321.12,2026-04-25 22:37:17
14723,2025-09-02,JIOFIN,314.2,316.25,311.0,311.75,13220790,-0.7324,5.25,314.81,321.32,320.7,2026-04-25 22:37:17
14722,2025-09-01,JIOFIN,311.7,314.5,307.2,314.05,11486200,0.7539,7.3,316.54,321.47,320.34,2026-04-25 22:37:17
14721,2025-08-29,JIOFIN,311.0,316.65,309.35,311.7,17274980,0.516,7.3,318.59,321.59,319.73,2026-04-25 22:37:17
14720,2025-08-28,JIOFIN,315.75,316.9,309.5,310.1,15243090,-1.7894,7.4,321.39,321.84,319.25,2026-04-25 22:37:17
14719,2025-08-26,JIOFIN,319.5,320.15,314.2,315.75,10076770,-1.2355,5.95,324.14,322.19,318.83,2026-04-25 22:37:17
14718,2025-08-25,JIOFIN,322.0,322.35,318.35,319.7,11445520,-0.2807,4.0,325.81,322.28,318.39,2026-04-25 22:37:17
14717,2025-08-22,JIOFIN,324.8,326.3,320.1,320.6,8800338,-1.0036,6.2,327.36,322.47,317.87,2026-04-25 22:37:17
14716,2025-08-21,JIOFIN,329.0,329.4,322.6,323.85,10947440,-1.4005,6.8,328.28,322.82,317.37,2026-04-25 22:37:17
14715,2025-08-20,JIOFIN,330.85,331.0,327.05,328.45,8822662,-0.8602,3.95,328.84,323.0,316.94,2026-04-25 22:37:17
14714,2025-08-19,JIOFIN,330.0,333.2,328.45,331.3,8842923,0.5921,4.75,327.72,323.0,316.41,2026-04-25 22:37:17
14713,2025-08-18,JIOFIN,331.25,333.7,327.6,329.35,9341169,0.5956,6.1,326.82,322.88,315.86,2026-04-25 22:37:17
14712,2025-08-14,JIOFIN,330.6,331.95,325.85,327.4,8079069,-0.9679,6.1,326.35,322.71,315.15,2026-04-25 22:37:17
14711,2025-08-13,JIOFIN,328.6,332.6,328.6,330.6,11363620,1.1009,4.0,327.05,322.62,314.42,2026-04-25 22:37:17
14710,2025-08-12,JIOFIN,327.95,331.7,326.55,327.0,10094420,-0.2288,5.15,327.45,322.47,313.61,2026-04-25 22:37:17
14709,2025-08-11,JIOFIN,321.0,328.6,320.8,327.75,11342710,2.2143,7.8,327.73,322.54,312.74,2026-04-25 22:37:17
14708,2025-08-08,JIOFIN,324.59,325.49,319.6,320.65,10312940,-1.3364,5.89,327.87,322.49,311.9,2026-04-25 22:37:17
14707,2025-08-07,JIOFIN,322.5,327.49,316.31,324.99,16461900,-0.3215,11.18,327.75,322.57,311.21,2026-04-25 22:37:17
14706,2025-08-06,JIOFIN,332.68,333.08,325.09,326.04,11615130,-1.8928,7.99,327.13,322.13,310.46,2026-04-25 22:37:17
14705,2025-08-05,JIOFIN,333.93,338.07,330.98,332.33,16052990,-0.3145,7.09,324.39,321.36,309.74,2026-04-25 22:37:17
14704,2025-08-04,JIOFIN,329.34,334.98,328.09,333.38,19850630,1.3353,6.89,321.31,320.29,308.91,2026-04-25 22:37:17
14703,2025-08-01,JIOFIN,329.44,332.18,325.49,328.99,19635750,0.0759,6.69,318.82,318.94,307.87,2026-04-25 22:37:17
14702,2025-07-31,JIOFIN,316.51,332.13,315.96,328.74,49292430,2.7943,16.17,316.67,317.76,306.91,2026-04-25 22:37:17
14701,2025-07-30,JIOFIN,322.5,323.5,319.2,319.8,15393960,-0.2491,4.29,314.04,316.26,305.82,2026-04-25 22:37:17
14700,2025-07-29,JIOFIN,305.82,322.0,305.82,320.6,27086580,4.4737,16.17,313.6,315.19,304.9,2026-04-25 22:37:17
14699,2025-07-28,JIOFIN,310.77,315.36,306.02,306.87,15732700,-1.253,9.34,313.0,314.15,303.91,2026-04-25 22:37:17
14698,2025-07-25,JIOFIN,315.06,315.06,309.72,310.77,10957080,-1.6432,5.34,314.54,313.71,303.31,2026-04-25 22:37:17
14697,2025-07-24,JIOFIN,314.51,318.9,312.96,315.96,11348070,0.636,5.94,315.72,313.14,302.62,2026-04-25 22:37:17
14696,2025-07-23,JIOFIN,311.11,314.71,311.11,313.96,9726960,1.1744,3.59,316.4,312.46,301.77,2026-04-25 22:37:17
14695,2025-07-22,JIOFIN,317.5,317.95,309.37,310.32,15797940,-2.0331,8.59,317.06,312.06,300.83,2026-04-25 22:37:17
14694,2025-07-21,JIOFIN,317.7,320.3,313.61,316.76,16996840,0.1262,6.69,319.2,311.8,299.97,2026-04-25 22:37:17
14693,2025-07-18,JIOFIN,320.0,323.45,313.26,316.36,29776470,-0.4086,10.18,321.26,311.36,298.88,2026-04-25 22:37:17
14692,2025-07-17,JIOFIN,319.6,320.45,316.86,317.65,12037730,-0.4381,3.59,323.11,310.6,297.51,2026-04-25 22:37:17
14691,2025-07-16,JIOFIN,320.5,322.2,318.15,319.05,14151920,-0.5137,4.04,324.64,309.72,296.18,2026-04-25 22:37:17
14690,2025-07-15,JIOFIN,320.6,322.05,317.8,320.7,12753150,0.6581,4.24,325.85,308.75,294.91,2026-04-25 22:37:17
14689,2025-07-14,JIOFIN,324.49,327.19,317.16,318.6,17980880,-2.0565,10.03,326.38,307.5,293.52,2026-04-25 22:37:17
